device_id,timestamp,alert_type,severity,message
Server-App1,2026-04-18 18:44:43,Memory Utilization High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:44:46,Disk Space Exhausted,Critical,Hardware boundary breached
Server-App2,2026-04-18 18:44:46,High Latency,Warning,Process starving for resources
Server-App2,2026-04-18 18:44:46,Database Disconnect,Minor,Process starving for resources
Server-App2,2026-04-18 18:44:46,High Latency,Warning,Process starving for resources
Server-App1,2026-04-18 18:44:49,Memory Utilization High,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:44:52,Memory Utilization High,Info,Routine telemetry scan
Switch-1,2026-04-18 18:44:55,Port Flapping,Info,Routine telemetry scan
Router-3,2026-04-18 18:44:58,High Latency,Info,Routine telemetry scan
Switch-3,2026-04-18 18:45:01,Port Flapping,Info,Routine telemetry scan
Switch-4,2026-04-18 18:45:04,Port Flapping,Info,Routine telemetry scan
Router-1,2026-04-18 18:45:07,Packet Loss,Info,Routine telemetry scan
Server-App3,2026-04-18 18:45:10,Memory Utilization High,Info,Routine telemetry scan
Server-App3,2026-04-18 18:45:13,Disk Space Exhausted,Critical,Hardware boundary breached
Server-App3,2026-04-18 18:45:13,High Latency,Warning,Process starving for resources
Server-App3,2026-04-18 18:45:13,High Latency,Warning,Process starving for resources
Server-App3,2026-04-18 18:45:13,High Latency,Warning,Process starving for resources
Router-3,2026-04-18 18:45:16,High Latency,Info,Routine telemetry scan
Switch-3,2026-04-18 18:45:19,License Expiry,Warning,Routine telemetry scan
Server-App1,2026-04-18 18:45:22,Memory Utilization High,Info,Routine telemetry scan
Router-2,2026-04-18 18:45:25,High Latency,Info,Routine telemetry scan
Server-App3,2026-04-18 18:45:28,Memory Utilization High,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:45:31,Memory Utilization High,Info,Routine telemetry scan
Router-3,2026-04-18 18:45:34,Packet Loss,Info,Routine telemetry scan
Switch-4,2026-04-18 18:45:37,Interface Down,Critical,Uplink trunk disconnected
Switch-4,2026-04-18 18:45:37,Port Flapping,Warning,Link instability detected
Switch-4,2026-04-18 18:45:37,Packet Loss,Minor,Link instability detected
Server-App3,2026-04-18 18:45:40,Memory Utilization High,Info,Routine telemetry scan
Switch-4,2026-04-18 18:45:43,Port Flapping,Info,Routine telemetry scan
Switch-1,2026-04-18 18:45:46,Port Flapping,Info,Routine telemetry scan
Switch-2,2026-04-18 18:45:49,Interface Down,Critical,Uplink trunk disconnected
Switch-2,2026-04-18 18:45:49,Port Flapping,Warning,Link instability detected
Switch-2,2026-04-18 18:45:49,Packet Loss,Minor,Link instability detected
Router-3,2026-04-18 18:45:52,High Latency,Info,Routine telemetry scan
Server-App3,2026-04-18 18:45:55,Memory Utilization High,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:45:58,Application Crash,Critical,Hardware boundary breached
Server-DB1,2026-04-18 18:45:58,Database Disconnect,Minor,Process starving for resources
Server-DB1,2026-04-18 18:45:58,High Latency,Warning,Process starving for resources
Server-DB1,2026-04-18 18:45:58,Memory Utilization High,Warning,Process starving for resources
Switch-2,2026-04-18 18:46:01,License Expiry,Warning,Routine telemetry scan
Router-1,2026-04-18 18:46:04,High Latency,Info,Routine telemetry scan
Switch-4,2026-04-18 18:46:07,License Expiry,Warning,Routine telemetry scan
Switch-2,2026-04-18 18:46:10,Interface Down,Critical,Uplink trunk disconnected
Switch-2,2026-04-18 18:46:10,Packet Loss,Minor,Link instability detected
Switch-2,2026-04-18 18:46:10,Packet Loss,Minor,Link instability detected
Switch-2,2026-04-18 18:46:10,Packet Loss,Minor,Link instability detected
Switch-1,2026-04-18 18:46:13,License Expiry,Warning,Routine telemetry scan
Server-DB1,2026-04-18 18:46:16,CPU High,Major,Hardware boundary breached
Server-DB1,2026-04-18 18:46:16,High Latency,Warning,Process starving for resources
Server-DB1,2026-04-18 18:46:16,High Latency,Warning,Process starving for resources
Server-DB1,2026-04-18 18:46:16,High Latency,Warning,Process starving for resources
Router-1,2026-04-18 18:46:19,Interface Down,Critical,Peer adjacency failed
Router-1,2026-04-18 18:46:19,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:46:19,Packet Loss,Minor,Secondary network degradation
Server-App2,2026-04-18 18:46:22,Application Crash,Critical,Hardware boundary breached
Server-App2,2026-04-18 18:46:22,Database Disconnect,Minor,Process starving for resources
Server-App2,2026-04-18 18:46:22,Memory Utilization High,Warning,Process starving for resources
Server-App2,2026-04-18 18:46:22,Memory Utilization High,Warning,Process starving for resources
Router-1,2026-04-18 18:46:25,OSPF Down,Major,Peer adjacency failed
Router-1,2026-04-18 18:46:25,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:46:25,Packet Loss,Minor,Secondary network degradation
Router-3,2026-04-18 18:46:28,Packet Loss,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:46:31,Memory Utilization High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:46:34,CPU High,Info,Routine telemetry scan
Switch-4,2026-04-18 18:46:37,Interface Down,Critical,Uplink trunk disconnected
Switch-4,2026-04-18 18:46:37,Port Flapping,Warning,Link instability detected
Switch-4,2026-04-18 18:46:37,Packet Loss,Minor,Link instability detected
Server-App1,2026-04-18 18:46:40,Application Crash,Critical,Hardware boundary breached
Server-App1,2026-04-18 18:46:40,High Latency,Warning,Process starving for resources
Server-App1,2026-04-18 18:46:40,Database Disconnect,Minor,Process starving for resources
Server-App1,2026-04-18 18:46:40,Memory Utilization High,Warning,Process starving for resources
Server-App1,2026-04-18 18:46:40,Database Disconnect,Minor,Process starving for resources
Router-3,2026-04-18 18:46:43,Packet Loss,Info,Routine telemetry scan
Router-1,2026-04-18 18:46:46,Packet Loss,Info,Routine telemetry scan
Switch-3,2026-04-18 18:46:49,License Expiry,Warning,Routine telemetry scan
Server-App2,2026-04-18 18:46:52,CPU High,Info,Routine telemetry scan
Server-App3,2026-04-18 18:46:55,Memory Utilization High,Info,Routine telemetry scan
Server-App3,2026-04-18 18:46:58,Memory Utilization High,Info,Routine telemetry scan
Switch-2,2026-04-18 18:47:01,License Expiry,Warning,Routine telemetry scan
Server-App2,2026-04-18 18:47:04,Application Crash,Critical,Hardware boundary breached
Server-App2,2026-04-18 18:47:04,Database Disconnect,Minor,Process starving for resources
Server-App2,2026-04-18 18:47:04,High Latency,Warning,Process starving for resources
Server-App1,2026-04-18 18:47:07,Memory Utilization High,Info,Routine telemetry scan
Switch-4,2026-04-18 18:47:10,Port Flapping,Info,Routine telemetry scan
Router-1,2026-04-18 18:47:13,Packet Loss,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:47:16,CPU High,Info,Routine telemetry scan
Router-3,2026-04-18 18:47:19,Packet Loss,Info,Routine telemetry scan
Router-3,2026-04-18 18:47:22,High Latency,Info,Routine telemetry scan
Router-2,2026-04-18 18:47:25,Packet Loss,Info,Routine telemetry scan
Server-App1,2026-04-18 18:47:28,Memory Utilization High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:47:31,CPU High,Info,Routine telemetry scan
Router-2,2026-04-18 18:47:34,High Latency,Info,Routine telemetry scan
Server-App1,2026-04-18 18:47:37,CPU High,Info,Routine telemetry scan
Router-1,2026-04-18 18:47:40,Interface Down,Critical,Peer adjacency failed
Router-1,2026-04-18 18:47:40,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:47:40,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:47:40,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:47:40,Packet Loss,Minor,Secondary network degradation
Router-3,2026-04-18 18:47:43,Packet Loss,Info,Routine telemetry scan
Switch-4,2026-04-18 18:47:46,License Expiry,Warning,Routine telemetry scan
Switch-3,2026-04-18 18:47:49,License Expiry,Warning,Routine telemetry scan
Server-App2,2026-04-18 18:47:52,CPU High,Info,Routine telemetry scan
Switch-1,2026-04-18 18:47:55,Port Flapping,Info,Routine telemetry scan
Switch-3,2026-04-18 18:47:58,Port Flapping,Info,Routine telemetry scan
Switch-3,2026-04-18 18:48:01,Interface Down,Critical,Uplink trunk disconnected
Switch-3,2026-04-18 18:48:01,Port Flapping,Warning,Link instability detected
Switch-3,2026-04-18 18:48:01,Port Flapping,Warning,Link instability detected
Switch-3,2026-04-18 18:48:01,Port Flapping,Warning,Link instability detected
Server-App2,2026-04-18 18:48:04,CPU High,Major,Hardware boundary breached
Server-App2,2026-04-18 18:48:04,Database Disconnect,Minor,Process starving for resources
Server-App2,2026-04-18 18:48:04,High Latency,Warning,Process starving for resources
Server-App2,2026-04-18 18:48:04,Database Disconnect,Minor,Process starving for resources
Server-App2,2026-04-18 18:48:04,High Latency,Warning,Process starving for resources
Switch-4,2026-04-18 18:48:07,Port Flapping,Info,Routine telemetry scan
Router-2,2026-04-18 18:48:10,OSPF Down,Major,Peer adjacency failed
Router-2,2026-04-18 18:48:10,High Latency,Warning,Secondary network degradation
Router-2,2026-04-18 18:48:10,High Latency,Warning,Secondary network degradation
Router-3,2026-04-18 18:48:13,Packet Loss,Info,Routine telemetry scan
Router-2,2026-04-18 18:48:16,High Latency,Info,Routine telemetry scan
Switch-3,2026-04-18 18:48:19,Interface Down,Critical,Uplink trunk disconnected
Switch-3,2026-04-18 18:48:19,Packet Loss,Minor,Link instability detected
Switch-3,2026-04-18 18:48:19,Port Flapping,Warning,Link instability detected
Server-DB1,2026-04-18 18:48:22,CPU High,Info,Routine telemetry scan
Server-App3,2026-04-18 18:48:25,Memory Utilization High,Info,Routine telemetry scan
Switch-1,2026-04-18 18:48:28,License Expiry,Warning,Routine telemetry scan
Switch-4,2026-04-18 18:48:31,Port Flapping,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:48:34,CPU High,Info,Routine telemetry scan
Router-1,2026-04-18 18:48:37,High Latency,Info,Routine telemetry scan
Switch-2,2026-04-18 18:48:40,Port Flapping,Info,Routine telemetry scan
Switch-4,2026-04-18 18:48:43,Interface Down,Critical,Uplink trunk disconnected
Switch-4,2026-04-18 18:48:43,Packet Loss,Minor,Link instability detected
Switch-4,2026-04-18 18:48:43,Packet Loss,Minor,Link instability detected
Switch-4,2026-04-18 18:48:43,Port Flapping,Warning,Link instability detected
Server-App3,2026-04-18 18:48:46,Memory Utilization High,Info,Routine telemetry scan
Switch-3,2026-04-18 18:48:49,Interface Down,Critical,Uplink trunk disconnected
Switch-3,2026-04-18 18:48:49,Packet Loss,Minor,Link instability detected
Switch-3,2026-04-18 18:48:49,Packet Loss,Minor,Link instability detected
Server-DB1,2026-04-18 18:48:52,Memory Utilization High,Info,Routine telemetry scan
Router-3,2026-04-18 18:48:55,Packet Loss,Info,Routine telemetry scan
Server-App2,2026-04-18 18:48:58,Memory Utilization High,Info,Routine telemetry scan
Router-1,2026-04-18 18:49:01,Interface Down,Critical,Peer adjacency failed
Router-1,2026-04-18 18:49:01,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:49:01,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:49:01,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:49:01,Packet Loss,Minor,Secondary network degradation
Router-3,2026-04-18 18:49:04,High Latency,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:49:07,CPU High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:49:10,Memory Utilization High,Info,Routine telemetry scan
Switch-2,2026-04-18 18:49:13,Port Flapping,Info,Routine telemetry scan
Switch-2,2026-04-18 18:49:16,Interface Down,Critical,Uplink trunk disconnected
Switch-2,2026-04-18 18:49:16,Packet Loss,Minor,Link instability detected
Switch-2,2026-04-18 18:49:16,Packet Loss,Minor,Link instability detected
Switch-1,2026-04-18 18:49:19,Interface Down,Critical,Uplink trunk disconnected
Switch-1,2026-04-18 18:49:19,Port Flapping,Warning,Link instability detected
Switch-1,2026-04-18 18:49:19,Port Flapping,Warning,Link instability detected
Switch-1,2026-04-18 18:49:19,Packet Loss,Minor,Link instability detected
Switch-2,2026-04-18 18:49:22,Port Flapping,Info,Routine telemetry scan
Router-2,2026-04-18 18:49:25,BGP Down,Critical,Peer adjacency failed
Router-2,2026-04-18 18:49:25,High Latency,Warning,Secondary network degradation
Router-2,2026-04-18 18:49:25,High Latency,Warning,Secondary network degradation
Switch-4,2026-04-18 18:49:28,License Expiry,Warning,Routine telemetry scan
Server-DB1,2026-04-18 18:49:31,Memory Utilization High,Info,Routine telemetry scan
Router-3,2026-04-18 18:49:34,Packet Loss,Info,Routine telemetry scan
Server-App3,2026-04-18 18:49:37,Memory Utilization High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:49:40,CPU High,Major,Hardware boundary breached
Server-App2,2026-04-18 18:49:40,High Latency,Warning,Process starving for resources
Server-App2,2026-04-18 18:49:40,High Latency,Warning,Process starving for resources
Server-App2,2026-04-18 18:49:40,High Latency,Warning,Process starving for resources
Server-App2,2026-04-18 18:49:40,Database Disconnect,Minor,Process starving for resources
Router-2,2026-04-18 18:49:43,Packet Loss,Info,Routine telemetry scan
Switch-3,2026-04-18 18:49:46,Port Flapping,Info,Routine telemetry scan
Switch-1,2026-04-18 18:49:49,License Expiry,Warning,Routine telemetry scan
Router-2,2026-04-18 18:49:52,Packet Loss,Info,Routine telemetry scan
Router-3,2026-04-18 18:49:55,High Latency,Info,Routine telemetry scan
Server-App2,2026-04-18 18:49:58,CPU High,Info,Routine telemetry scan
Switch-3,2026-04-18 18:50:01,Port Flapping,Info,Routine telemetry scan
Router-3,2026-04-18 18:50:04,OSPF Down,Major,Peer adjacency failed
Router-3,2026-04-18 18:50:04,Packet Loss,Minor,Secondary network degradation
Router-3,2026-04-18 18:50:04,Packet Loss,Minor,Secondary network degradation
Router-3,2026-04-18 18:50:04,Packet Loss,Minor,Secondary network degradation
Server-DB1,2026-04-18 18:50:07,Memory Utilization High,Info,Routine telemetry scan
Router-3,2026-04-18 18:50:10,Packet Loss,Info,Routine telemetry scan
Switch-1,2026-04-18 18:50:13,Port Flapping,Info,Routine telemetry scan
Router-3,2026-04-18 18:50:16,BGP Down,Critical,Peer adjacency failed
Router-3,2026-04-18 18:50:16,Packet Loss,Minor,Secondary network degradation
Router-3,2026-04-18 18:50:16,High Latency,Warning,Secondary network degradation
Router-3,2026-04-18 18:50:16,Packet Loss,Minor,Secondary network degradation
Server-App3,2026-04-18 18:50:19,CPU High,Info,Routine telemetry scan
Router-3,2026-04-18 18:50:22,Packet Loss,Info,Routine telemetry scan
Switch-2,2026-04-18 18:50:25,Port Flapping,Info,Routine telemetry scan
Router-1,2026-04-18 18:50:28,Interface Down,Critical,Peer adjacency failed
Router-1,2026-04-18 18:50:28,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:50:28,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:50:28,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:50:28,High Latency,Warning,Secondary network degradation
Server-DB1,2026-04-18 18:50:31,Application Crash,Critical,Hardware boundary breached
Server-DB1,2026-04-18 18:50:31,Memory Utilization High,Warning,Process starving for resources
Server-DB1,2026-04-18 18:50:31,Memory Utilization High,Warning,Process starving for resources
Server-DB1,2026-04-18 18:50:31,High Latency,Warning,Process starving for resources
Server-DB1,2026-04-18 18:50:34,Memory Utilization High,Info,Routine telemetry scan
Server-App3,2026-04-18 18:50:37,Memory Utilization High,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:50:40,CPU High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:50:43,Memory Utilization High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:50:46,CPU High,Info,Routine telemetry scan
Switch-3,2026-04-18 18:50:49,Port Flapping,Info,Routine telemetry scan
Router-1,2026-04-18 18:50:52,High Latency,Info,Routine telemetry scan
Router-1,2026-04-18 18:50:55,Packet Loss,Info,Routine telemetry scan
Router-2,2026-04-18 18:50:58,High Latency,Info,Routine telemetry scan
Router-2,2026-04-18 18:51:01,Packet Loss,Info,Routine telemetry scan
Router-2,2026-04-18 18:51:04,Packet Loss,Info,Routine telemetry scan
Server-App3,2026-04-18 18:51:07,Memory Utilization High,Info,Routine telemetry scan
Switch-4,2026-04-18 18:51:10,Interface Down,Critical,Uplink trunk disconnected
Switch-4,2026-04-18 18:51:10,Packet Loss,Minor,Link instability detected
Switch-4,2026-04-18 18:51:10,Port Flapping,Warning,Link instability detected
Server-DB1,2026-04-18 18:51:13,Memory Utilization High,Info,Routine telemetry scan
Router-2,2026-04-18 18:51:16,Packet Loss,Info,Routine telemetry scan
Router-3,2026-04-18 18:51:19,High Latency,Info,Routine telemetry scan
Server-App1,2026-04-18 18:51:22,CPU High,Major,Hardware boundary breached
Server-App1,2026-04-18 18:51:22,High Latency,Warning,Process starving for resources
Server-App1,2026-04-18 18:51:22,High Latency,Warning,Process starving for resources
Server-App1,2026-04-18 18:51:22,High Latency,Warning,Process starving for resources
Router-2,2026-04-18 18:51:25,High Latency,Info,Routine telemetry scan
Router-3,2026-04-18 18:51:28,Packet Loss,Info,Routine telemetry scan
Server-App1,2026-04-18 18:51:31,Memory Utilization High,Info,Routine telemetry scan
Router-2,2026-04-18 18:51:34,High Latency,Info,Routine telemetry scan
Switch-4,2026-04-18 18:51:37,Port Flapping,Info,Routine telemetry scan
Router-3,2026-04-18 18:51:40,Packet Loss,Info,Routine telemetry scan
Switch-2,2026-04-18 18:51:43,Port Flapping,Info,Routine telemetry scan
Router-2,2026-04-18 18:51:46,Packet Loss,Info,Routine telemetry scan
Switch-4,2026-04-18 18:51:49,License Expiry,Warning,Routine telemetry scan
Server-DB1,2026-04-18 18:51:52,CPU High,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:51:55,CPU High,Info,Routine telemetry scan
Switch-4,2026-04-18 18:51:58,Interface Down,Critical,Uplink trunk disconnected
Switch-4,2026-04-18 18:51:58,Packet Loss,Minor,Link instability detected
Switch-4,2026-04-18 18:51:58,Packet Loss,Minor,Link instability detected
Switch-4,2026-04-18 18:51:58,Port Flapping,Warning,Link instability detected
Switch-3,2026-04-18 18:52:01,Port Flapping,Info,Routine telemetry scan
Switch-1,2026-04-18 18:52:04,Port Flapping,Info,Routine telemetry scan
Switch-3,2026-04-18 18:52:07,Port Flapping,Info,Routine telemetry scan
Router-3,2026-04-18 18:52:10,Packet Loss,Info,Routine telemetry scan
Router-2,2026-04-18 18:52:13,Packet Loss,Info,Routine telemetry scan
Router-1,2026-04-18 18:52:16,OSPF Down,Major,Peer adjacency failed
Router-1,2026-04-18 18:52:16,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:52:16,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:52:16,High Latency,Warning,Secondary network degradation
Switch-1,2026-04-18 18:52:19,License Expiry,Warning,Routine telemetry scan
Switch-2,2026-04-18 18:52:22,Port Flapping,Info,Routine telemetry scan
Router-1,2026-04-18 18:52:25,Packet Loss,Info,Routine telemetry scan
Server-App3,2026-04-18 18:52:28,Application Crash,Critical,Hardware boundary breached
Server-App3,2026-04-18 18:52:28,High Latency,Warning,Process starving for resources
Server-App3,2026-04-18 18:52:28,Database Disconnect,Minor,Process starving for resources
Server-App3,2026-04-18 18:52:28,High Latency,Warning,Process starving for resources
Server-App3,2026-04-18 18:52:28,Memory Utilization High,Warning,Process starving for resources
Server-DB1,2026-04-18 18:52:31,Memory Utilization High,Info,Routine telemetry scan
Switch-2,2026-04-18 18:52:34,Port Flapping,Info,Routine telemetry scan
Router-2,2026-04-18 18:52:37,High Latency,Info,Routine telemetry scan
Switch-3,2026-04-18 18:52:40,Interface Down,Critical,Uplink trunk disconnected
Switch-3,2026-04-18 18:52:40,Packet Loss,Minor,Link instability detected
Switch-3,2026-04-18 18:52:40,Port Flapping,Warning,Link instability detected
Switch-3,2026-04-18 18:52:40,Packet Loss,Minor,Link instability detected
Router-2,2026-04-18 18:52:43,Packet Loss,Info,Routine telemetry scan
Switch-2,2026-04-18 18:52:46,Port Flapping,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:52:49,Memory Utilization High,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:52:52,Memory Utilization High,Info,Routine telemetry scan
Router-3,2026-04-18 18:52:55,Packet Loss,Info,Routine telemetry scan
Server-App3,2026-04-18 18:52:58,CPU High,Info,Routine telemetry scan
Router-1,2026-04-18 18:53:01,OSPF Down,Major,Peer adjacency failed
Router-1,2026-04-18 18:53:01,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:53:01,Packet Loss,Minor,Secondary network degradation
Switch-3,2026-04-18 18:53:04,License Expiry,Warning,Routine telemetry scan
Switch-3,2026-04-18 18:53:07,License Expiry,Warning,Routine telemetry scan
Server-App2,2026-04-18 18:53:10,Memory Utilization High,Info,Routine telemetry scan
Switch-1,2026-04-18 18:53:13,Port Flapping,Info,Routine telemetry scan
Router-2,2026-04-18 18:53:16,High Latency,Info,Routine telemetry scan
Server-App3,2026-04-18 18:53:19,CPU High,Info,Routine telemetry scan
Router-3,2026-04-18 18:53:22,Packet Loss,Info,Routine telemetry scan
Router-1,2026-04-18 18:53:25,Packet Loss,Info,Routine telemetry scan
Router-3,2026-04-18 18:53:28,Packet Loss,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:53:31,Memory Utilization High,Info,Routine telemetry scan
Router-3,2026-04-18 18:53:34,High Latency,Info,Routine telemetry scan
Switch-3,2026-04-18 18:53:37,Interface Down,Critical,Uplink trunk disconnected
Switch-3,2026-04-18 18:53:37,Packet Loss,Minor,Link instability detected
Switch-3,2026-04-18 18:53:37,Port Flapping,Warning,Link instability detected
Switch-3,2026-04-18 18:53:37,Port Flapping,Warning,Link instability detected
Router-2,2026-04-18 18:53:40,Packet Loss,Info,Routine telemetry scan
Router-1,2026-04-18 18:53:43,Packet Loss,Info,Routine telemetry scan
Server-App3,2026-04-18 18:53:46,CPU High,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:53:49,Memory Utilization High,Info,Routine telemetry scan
Switch-1,2026-04-18 18:53:52,Port Flapping,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:53:55,Disk Space Exhausted,Critical,Hardware boundary breached
Server-DB1,2026-04-18 18:53:55,High Latency,Warning,Process starving for resources
Server-DB1,2026-04-18 18:53:55,High Latency,Warning,Process starving for resources
Server-DB1,2026-04-18 18:53:55,Database Disconnect,Minor,Process starving for resources
Server-DB1,2026-04-18 18:53:58,CPU High,Info,Routine telemetry scan
Router-3,2026-04-18 18:54:01,Packet Loss,Info,Routine telemetry scan
Switch-1,2026-04-18 18:54:04,License Expiry,Warning,Routine telemetry scan
Server-App3,2026-04-18 18:54:07,Memory Utilization High,Info,Routine telemetry scan
Server-App1,2026-04-18 18:54:10,CPU High,Info,Routine telemetry scan
Router-1,2026-04-18 18:54:13,Packet Loss,Info,Routine telemetry scan
Router-1,2026-04-18 18:54:16,BGP Down,Critical,Peer adjacency failed
Router-1,2026-04-18 18:54:16,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:54:16,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:54:19,Interface Down,Critical,Peer adjacency failed
Router-1,2026-04-18 18:54:19,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:54:19,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:54:19,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:54:19,High Latency,Warning,Secondary network degradation
Switch-1,2026-04-18 18:54:22,Port Flapping,Info,Routine telemetry scan
Switch-3,2026-04-18 18:54:25,Port Flapping,Info,Routine telemetry scan
Server-DB1,2026-04-18 18:54:28,Memory Utilization High,Info,Routine telemetry scan
Router-1,2026-04-18 18:54:31,Packet Loss,Info,Routine telemetry scan
Switch-1,2026-04-18 18:54:34,License Expiry,Warning,Routine telemetry scan
Router-1,2026-04-18 18:54:37,BGP Down,Critical,Peer adjacency failed
Router-1,2026-04-18 18:54:37,Packet Loss,Minor,Secondary network degradation
Router-1,2026-04-18 18:54:37,High Latency,Warning,Secondary network degradation
Router-1,2026-04-18 18:54:37,High Latency,Warning,Secondary network degradation
Router-2,2026-04-18 18:54:40,Interface Down,Critical,Peer adjacency failed
Router-2,2026-04-18 18:54:40,Packet Loss,Minor,Secondary network degradation
Router-2,2026-04-18 18:54:40,High Latency,Warning,Secondary network degradation
Router-2,2026-04-18 18:54:43,Packet Loss,Info,Routine telemetry scan
Switch-2,2026-04-18 18:54:46,License Expiry,Warning,Routine telemetry scan
Switch-1,2026-04-18 18:54:49,Port Flapping,Info,Routine telemetry scan
Switch-2,2026-04-18 18:54:52,Port Flapping,Info,Routine telemetry scan
Server-App1,2026-04-18 18:54:55,CPU High,Info,Routine telemetry scan
Server-App2,2026-04-18 18:54:58,Memory Utilization High,Info,Routine telemetry scan
Server-App3,2026-04-18 18:55:01,Memory Utilization High,Info,Routine telemetry scan
Router-3,2026-04-18 18:55:04,High Latency,Info,Routine telemetry scan
Router-3,2026-04-18 18:55:07,BGP Down,Critical,Peer adjacency failed
Router-3,2026-04-18 18:55:07,High Latency,Warning,Secondary network degradation
Router-3,2026-04-18 18:55:07,High Latency,Warning,Secondary network degradation
Router-3,2026-04-18 18:55:07,High Latency,Warning,Secondary network degradation
Switch-2,2026-04-18 18:55:10,Interface Down,Critical,Uplink trunk disconnected
Switch-2,2026-04-18 18:55:10,Port Flapping,Warning,Link instability detected
Switch-2,2026-04-18 18:55:10,Packet Loss,Minor,Link instability detected
Switch-2,2026-04-18 18:55:10,Port Flapping,Warning,Link instability detected
